200 , 0.23363971710205078 , 0.0507813
300 , 0.42515039443969727 , 0.132813
500 , 0.5544886589050293 , 0.328125
800 , 0.7159233093261719 , 0.324219
1000 , 0.9926271438598633 , 0.488281
2000 , 1.4959962368011475 , 0.433594
3000 , 2.154747247695923 , 0.683594
5000 , 3.160388469696045 , 0.816406
9000 , 4.770694017410278 , 0.835938
10000 , 7.288390874862671 , 0.886719
20000 , 11.336151599884033 , 0.902344
40000 , 17.756208658218384 , 0.925781
60000 , 28.114715814590454 , 0.953125
90000 , 44.55744504928589 , 0.964844
100000 , 44.591541051864624 , 0.964844
